27, 8,NAME-OUTPUT-1.TXT
179.68,306.99,189.83
-571.59,2440.78,-792.32
207.73,210.13,209.15
206.63,212.75,334.12
205.53,215.38,459.09
208.79,335.1,206.54
207.69,337.72,331.51
206.59,340.34,456.47
209.86,460.07,203.93
208.76,462.69,328.89
207.66,465.31,453.86
332.72,209.09,210.27
331.62,211.71,335.24
330.52,214.33,460.21
333.78,334.06,207.66
332.68,336.68,332.63
331.58,339.3,457.6
334.85,459.03,205.05
333.75,461.65,330.02
332.65,464.27,454.98
457.71,208.05,211.4
456.61,210.67,336.36
455.51,213.29,461.33
458.77,333.02,208.78
457.67,335.64,333.75
456.57,338.26,458.72
459.84,457.98,206.17
458.74,460.61,331.14
457.64,463.23,456.11
215.01,216.57,446.64
214.07,219.05,571.62
213.13,221.54,696.59
215.52,341.55,444.16
214.58,344.03,569.14
213.64,346.51,694.11
216.03,466.52,441.69
215.09,469.0,566.66
214.15,471.49,691.63
340.01,216.08,447.6
339.06,218.56,572.57
338.12,221.04,697.54
340.52,341.05,445.12
339.58,343.54,570.09
338.63,346.02,695.06
341.03,466.03,442.64
340.09,468.51,567.61
339.14,470.99,692.58
465.0,215.59,448.55
464.06,218.07,573.52
463.12,220.55,698.49
465.51,340.56,446.07
464.57,343.04,571.04
463.63,345.53,696.01
466.03,465.53,443.59
465.08,468.02,568.56
464.14,470.5,693.53
207.81,452.55,207.21
207.77,455.99,332.16
207.73,459.44,457.11
208.86,577.49,203.77
208.82,580.94,328.72
208.78,584.38,453.67
209.9,702.44,200.32
209.86,705.89,325.27
209.82,709.33,450.23
332.81,451.5,207.28
332.77,454.95,332.23
332.73,458.39,457.18
333.85,576.45,203.83
333.81,579.9,328.79
333.77,583.34,453.74
334.9,701.4,200.39
334.86,704.84,325.34
334.81,708.29,450.29
457.8,450.46,207.35
457.76,453.91,332.3
457.72,457.35,457.25
458.85,575.41,203.9
458.81,578.85,328.86
458.77,582.3,453.81
459.89,700.36,200.46
459.85,703.8,325.41
459.81,707.25,450.36
211.9,453.53,448.14
211.9,455.88,573.11
211.9,458.23,698.09
213.27,578.5,445.78
213.27,580.85,570.76
213.27,583.2,695.74
214.65,703.47,443.43
214.65,705.82,568.41
214.65,708.17,693.39
336.89,452.15,448.16
336.89,454.5,573.14
336.89,456.86,698.12
338.27,577.12,445.81
338.27,579.47,570.79
338.27,581.83,695.77
339.64,702.09,443.46
339.64,704.44,568.43
339.64,706.8,693.41
461.88,450.77,448.19
461.88,453.13,573.17
461.88,455.48,698.14
463.26,575.74,445.84
463.26,578.1,570.81
463.26,580.45,695.79
464.64,700.71,443.48
464.64,703.07,568.46
464.64,705.42,693.44
450.73,218.95,203.21
448.84,218.64,328.19
446.94,218.33,453.18
452.5,343.94,203.54
450.6,343.63,328.53
448.7,343.32,453.51
454.26,468.92,203.88
452.37,468.61,328.86
450.47,468.31,453.85
575.71,217.18,205.1
573.81,216.87,330.08
571.91,216.56,455.07
577.47,342.17,205.43
575.57,341.86,330.42
573.68,341.55,455.4
579.24,467.15,205.77
577.34,466.85,330.76
575.44,466.54,455.74
700.68,215.41,206.99
698.78,215.1,331.98
696.89,214.79,456.96
702.45,340.4,207.33
700.55,340.09,332.31
698.65,339.78,457.3
704.21,465.38,207.66
702.31,465.08,332.65
700.41,464.77,457.63
451.31,228.51,435.89
450.18,225.79,560.85
449.04,223.08,685.82
452.12,353.48,438.61
450.99,350.76,563.57
449.86,348.05,688.54
452.94,478.44,441.33
451.81,475.73,566.3
450.67,473.02,691.26
576.3,227.67,437.0
575.17,224.96,561.97
574.04,222.24,686.93
577.12,352.64,439.72
575.98,349.92,564.69
574.85,347.21,689.65
577.93,477.61,442.45
576.8,474.89,567.41
575.66,472.18,692.38
701.29,226.83,438.12
700.16,224.12,563.08
699.03,221.4,688.05
702.11,351.8,440.84
700.98,349.09,565.8
699.84,346.37,690.77
702.92,476.77,443.56
701.79,474.05,568.53
700.66,471.34,693.49
448.02,452.9,208.47
447.35,449.61,333.42
446.68,446.32,458.38
446.48,577.84,211.75
445.81,574.55,336.7
445.14,571.26,461.66
444.93,702.79,215.03
444.27,699.5,339.98
443.6,696.21,464.94
573.01,454.42,209.17
572.34,451.13,334.13
571.67,447.84,459.08
571.47,579.37,212.46
570.8,576.08,337.41
570.13,572.79,462.37
569.92,704.32,215.74
569.25,701.03,340.69
568.58,697.74,465.65
698.0,455.95,209.88
697.33,452.66,334.84
696.66,449.37,459.79
696.45,580.89,213.17
695.79,577.6,338.12
695.12,574.31,463.07
694.91,705.84,216.45
694.24,702.55,341.4
693.57,699.26,466.36
450.24,457.74,443.0
449.51,455.42,567.97
448.77,453.09,692.95
448.66,582.71,445.32
447.92,580.38,570.29
447.18,578.06,695.27
447.07,707.68,447.63
446.33,705.35,572.61
445.59,703.03,697.59
575.23,459.32,443.77
574.49,456.99,568.74
573.76,454.66,693.72
573.65,584.28,446.08
572.91,581.96,571.06
572.17,579.63,696.04
572.06,709.25,448.4
571.32,706.93,573.38
570.58,704.6,698.35
700.22,460.89,444.53
699.48,458.56,569.51
698.74,456.23,694.49
698.63,585.86,446.85
697.9,583.53,571.83
697.16,581.2,696.8
697.05,710.83,449.17
696.31,708.5,574.15
695.57,706.17,699.12
